时间: 2019-03-30_11:24:08
点赞数       贡献者                                公司名称
 1071      LinXueyuanStdio          京东（假装置顶：建议评论加上部门、省区、工资范围，越详细越好）
 615       llccing                  有赞                  
 534       yaozhewei                阿里                  
 386       EscapeFromCoding         字节跳动（我司大小周大家都知道了，更烦人的是早上十点上班晚上十点下班，到家差不多就十一点了。）
 319       lemonahmas               华为终端部门（长期加班 每周一次通宵） 
 220       Tonyee                   苏宁（无偿加班到八九点 绩效考核不看你工作的成果 只关心加班时长，而且加班少要被优化……）
 203       LinXueyuanStdio          完美世界 经常加班到三四点 无加班费（DOTA2服务器总崩... 你们加班咋加的....）
 201       zzp0753                  并夕夕                 
 115       yangyuantianming         小米（根据评论：讲真 没觉着加班 不知道为什么名次会排在ov前面）
 98        intro-tan                腾讯（一言难尽，看评论吧）       
 94        songjiayu                Icourt 新橙科技（这个公司996业界还算知名）
 90        bluesmi                  亚信科技（根据评论 1.出差，加班，没有钱 2.  加班确实比较多，但并没有制度上要求996，平均下来985）
 81        yanglu1019               猎聘网                 
 79        ClassmateSlow            海尔                  
 75        itisyang                 海康威视（新部门996，老部门99大小周，没有加班费，合同上白纸黑字8小时工作制，半个字没提加班）
 73        Mirsla                   卖客星球                
 72        lizhichao                58同城                
 66        LiuChen2015              武汉氪细胞（面试的时候面试官直接说公司996，问能不能接受，我说没问题，但是不要我）
 62        int9tristan              饿了么                 
 51        int9tristan              小红书                 
 49        a58457432                来伊份（987 ，加班成狗）      
 46        zx775337791              上海太屋网络科技有限公司（太平洋房屋it部门）
 46        qiuling2014              广州探迹（舍友探迹，每晚12点是常态） 
 45        Clownzoo                 云徙科技                
 42        RanOfXuan                万达信息股份有限公司（加的我都前列腺了）
 36        GeekStyle                步步高（教育电子, VIVO, OPPO）
 35        lunarphenix              蝴蝶互动（996不止）         
 30        MinosIE                  游族                  
 27        Dreamer53                浪潮                  
 24        Lanfice                  CVTE                
 24        rangerzy                 科大讯飞                
 24        HaruHappy                四方伟业                
 23        int9tristan              B站                  
 22        lilthree                 蜻蜓FM                
 22        Lanfice                  多益                  
 21        seven7goddess            深信服                 
 20        niejunhao                美团点评                
 20        yonyouchanjet            用友集团畅捷通公司           
 19        weizheng92               百度                  
 18        jinsen47                 DJI                 
 17        sd19836311               南京t3出行              
 17        dzj0352                  井通科技                
 17        civodaxahe01             膜法指南                
 17        phqvince                 三七互娱？？？             
 17        watermelo2               浙江大華                
 16        pop1234o                 好未来                 
 16        Peakchen                 52西游                
 15        a66245753                武汉360               
 15        apollochen123            欢聚时代                
 15        WenQiXu                  北京同仁堂健康药业股份有限公司     
 15        WenQiXu                  北京同仁堂健康药业股份有限公司     
 14        hcy226                   商汤科技                
 14        BusyDayByDay             Hand                
 13        jiaoxuebing2014          平安不动产（信息科技部）        
 13        int9tristan              携程                  
 12        virtualhu                心动网络                
 12        anti996                  像素软件                
 12        Notzuonotdied            依图科技                
 12        XuYuanzhe                水滴互助                
 12        luck28                   传统制造业               
 11        ITnotgirl                北京锐安科技              
 11        Teemo100                 趣头条--悠趣直播，10117     
 10        linkin-zhu               趣头条—米读小说            
 10        ElviraZ                  成都趣乐多-西游网           
 10        cokabug                  便利蜂                 
 10        int9tristan              喜马拉雅FM              
 10        Dead-Rabbit              杭州涂鸦科技              
 9         kellymyp                 哔哩哔哩                
 9         lybrooks                 天源迪科                
 9         15527854695              whfy                
 9         xindoo                   美团                  
 9         pinkeman360              360金融，10，10，6加班，持续2个月了
 9         535064094                中润国力集团有限公司          
 9         mada365                  BOSS直聘——马老板说了995.5  
 8         Nelsontop                威富通科技有限公司           
 8         TankLo520                杭州网聚海数数据科技有限公司      
 8         JaynieZheng              同花顺                 
 8         cobnut                   福建网龙                
 8         605435218                烽火通信                
 8         johncolezhang            斤谍                  
 8         no996noicu               用友 Yonyou           
 8         WangZhengWeis                                
 8         ColdPlayIm               VIPKID              
 7         shaka0919                旷视科技                
 7         yuchaoWu                 BIGO                
 7         qqert12345               网易大部分游戏项目           
 7         JameHou                  兴盛优选                
 7         vinohsueh                百度                  
 7         chao4693940              萌果科技                
 7         lwz22psp                 运去哪                 
 7         developNote              国机二院                
 7         KellyLei                 浩鲸科技                
 7         hetachen                 奖多多                 
 7         hit000021                杭州 婚礼纪              
 7         yuyang807                玖富                  
 7         7hens                    美的                  
 6         910515542                成信大软件工程专业           
 6         Xuejingyuan              国网湖南信通公司            
 6         1104797544               haojingkeji         
 6         jaysunxiao               三七互娱                
 6         Xuejingyuan              国网湖南信通公司            
 6         910515542                成信大软件工程专业           
 6         1104797544               haojingkeji         
 6         Notzuonotdied            Bigo                
 6         jaysunxiao               三七互娱                
 6         lusenkong                浙江宇视科技              
 6         lalalalalalalala123456   新网银行                
 6         liuchengyong             北京温暖烛光              
 5         longshenjue              瓜子二手车               
 5         jialiangxu               中兴                  
 5         smileisme                斗米                  
 5         chenqingru               北京永航科技              
 5         robin-go                 北京容联云通讯             
 5         xiaolong1127             当当                  
 5         billijoe                 开心人                 
 5         yamideh                  上海欢乐互娱（9.5 10 6 又叫江游）
 4         auweitao                 中科软                 
 4         HongjianHandsom          一起作业                
 4         davidkanou               BYD                 
 4         magang0425               上海久耶供应链管理有限公司       
 4         derek-zr                 007的研究生和博士  廉价劳动力，剥削链底层
 4         songtangjietinklabs      斗鱼                  
 4         humengqiao               深圳时空易联              
